iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
1857,13.797677780055192,28.4909319737218,1.743374284279493e-4,14.693254193666608,PDR
1858,12.774815328051522,30.23355751365623,1.2571550702015902e-4,17.458742185604706,PDR
1859,12.066631393116404,32.28235096410366,1.0045424174329152e-4,20.215719570987254,PDR
1860,13.890011389198204,27.407704233599482,1.8860169852212748e-4,13.517692844401278,PDR
1861,10.823227853329154,30.23773944436347,1.2280732535306074e-4,19.414511591034316,PDR
1862,12.571683702179131,41.133488572947684,9.878166700495614e-5,28.561804870768555,PDR
1863,6.696043972658933,34.760438321232805,6.250035725218498e-5,28.06439434857387,PDR
1864,12.807226332547302,27.704218616963306,1.91154252857113e-4,14.896992284416005,PDR
1865,11.160150973194881,61.4252460781057,4.784290606057792e-5,50.26509510491082,PDR
1866,13.4591335625429,27.534509308615952,2.0142607492397443e-4,14.075375746073052,PDR
1867,11.290127597560321,46.94945362548338,5.981706672821275e-5,35.65932602792306,PDR
1868,14.252780941096677,28.107202722923866,1.5337306879095147e-4,13.854421781827188,PDR
1869,11.192610337828995,57.127087083692494,4.922742914408481e-5,45.9344767458635,PDR
1870,7.207493226769371,38.421069957342525,5.1400735547501334e-5,31.213576730573152,PDR
1871,11.017057960352792,44.60984476047231,7.757356235304838e-5,33.59278680011952,PDR
1872,11.446824292957308,36.43578812601208,9.444056722314834e-5,24.98896383305477,PDR
1873,9.63957890224141,33.373935233232324,6.86796211615238e-5,23.734356330990913,PDR
1874,12.39043671384374,30.259747891608278,1.0710724418353287e-4,17.869311177764537,PDR
1875,10.025949627482724,40.404535122332305,6.804052271551759e-5,30.37858549484958,PDR
1876,10.549759071178777,27.594984752425756,1.1210837816023929e-4,17.04522568124698,PDR
1877,11.96141592483334,29.568642671852263,1.106300149066333e-4,17.607226747018924,PDR
1878,11.083399884469568,37.11982610088258,7.872091117534804e-5,26.03642621641301,PDR
1879,10.044227457157445,29.52306837837451,9.755977142750208e-5,19.478840921217063,PDR
1880,9.574152557142304,39.93050137422214,6.550951528543365e-5,30.356348817079834,PDR
