"","temperature","lowerCI","upperCI","lowerQ","upperQ","mean","median","treatment","scaled_median"
"148",14.7,0,0.850695556401664,0,0.145568333975101,0.128759989478652,0.016686503034847,"S",0.000269508462006111
"149",14.8,0,0.960349421753907,0,0.178767112879525,0.150978689159063,0.027606202581211,"S",0.000445875638769481
"150",14.9,0,1.07766401831179,0,0.216913522407019,0.17631068434184,0.0409723579094539,"S",0.000661756219495517
"151",15,0,1.20696487960324,0,0.260588436102596,0.205075714698452,0.0578134498680981,"S",0.000933761491229151
"152",15.1,0,1.34586661069975,0,0.309476876201182,0.237623849246407,0.0778923450675303,"S",0.00125806144507089
"153",15.2,0,1.49438386042733,0,0.363207138761838,0.274281710080404,0.102805542764091,"S",0.00166044159511385
"154",15.3,0,1.65713416265777,0.00121571128620283,0.422328882669871,0.315404622678748,0.13273429561274,"S",0.00214382940460011
"155",15.4,0,1.83364833509757,0.00763291248895781,0.488441747528029,0.361394390072198,0.166518803249519,"S",0.00268949260759761
"156",15.5,0,2.01220181847117,0.0172710371944485,0.562874666636808,0.412618170994138,0.205960581950314,"S",0.00332652800646085
"157",15.6,0,2.20588443847451,0.0315807538978046,0.646237871805471,0.469504164473489,0.250731917641796,"S",0.00404964259787478
"158",15.7,0,2.43360137530244,0.0499274410583318,0.737153148500571,0.532311830979428,0.302053998248004,"S",0.00487856013573442
"159",15.8,0,2.66791412640765,0.0717623753465979,0.8373028187456,0.60144708604816,0.359733567899264,"S",0.00581015928945895
"160",15.9,0,2.9135258305521,0.0980965316131265,0.946872579373477,0.677361571014987,0.423041386401666,"S",0.00683266189302503
"161",16,0,3.18102982848923,0.129612590743899,1.06541958104254,0.76029495868099,0.494304296094161,"S",0.0079836494396186
"162",16.1,0,3.4408823762643,0.167799532352328,1.19344584066941,0.850904020991798,0.571851553035197,"S",0.00923613726809445
"163",16.2,0,3.73670733226502,0.212447451946493,1.32674223738704,0.949313321975342,0.655737417417003,"S",0.0105910017502679
"164",16.3,0,4.0631950056021,0.258693716153617,1.47236559703433,1.05589316935959,0.749729972027094,"S",0.0121091022642036
