iteration,cf.T0,cf.Tm,cf.q,Tbreadth,traitTreatmentName
27,12.349731779247309,42.13162452034715,0.456542850216208,29.781892741099846,EFGC
28,9.270332390672941,32.52214536267144,0.8631703872734111,23.251812971998497,EFGC
29,8.666866844832647,35.344081648088384,0.7207213120650777,26.677214803255737,EFGC
30,11.914851198877184,35.90324456425216,0.5074436915632423,23.98839336537498,EFGC
31,11.377015930028977,31.14568928444433,0.8862337458058933,19.768673354415355,EFGC
32,13.128161921780766,33.95374106402072,0.6049425724889824,20.825579142239953,EFGC
33,11.627911540459515,35.76953319069512,0.6575578874443616,24.141621650235606,EFGC
34,6.5840863249752974,37.283986828014854,0.3152730868084114,30.699900503039558,EFGC
35,7.747514274369597,37.25433476776101,0.45404381327393034,29.506820493391412,EFGC
36,12.210957301989477,37.474982087230565,0.8497030832762762,25.264024785241087,EFGC
37,8.408329970675284,36.568151202351316,0.5736754783462168,28.159821231676034,EFGC
38,14.498001275733403,42.952299027950474,0.4646266424954331,28.454297752217073,EFGC
39,14.490681567660733,35.1584969979041,0.6817486266063766,20.66781543024337,EFGC
40,12.077550294399183,34.95823659957232,0.6509466228555594,22.880686305173136,EFGC
41,0.8802192671976609,31.656319241712197,0.4528919886574844,30.776099974514537,EFGC
42,9.575453945949922,37.1241329759674,0.6114604015275592,27.548679030017475,EFGC
43,8.392641296184262,33.550056967055,0.5698993700207228,25.157415670870737,EFGC
44,18.321668205675536,35.28135784034102,0.7694727394912586,16.959689634665487,EFGC
45,14.334882238918608,35.56251930588513,0.3822404955174533,21.227637066966523,EFGC
46,12.942609600256953,39.12406363446137,0.43000917338656347,26.18145403420442,EFGC
47,13.232556309219254,37.620993613811585,0.49255407947964397,24.38843730459233,EFGC
48,18.90478446668174,38.1017023613556,0.36274745775949796,19.19691789467386,EFGC
49,11.462028858021972,40.781146492946924,0.6082853817139118,29.31911763492495,EFGC
50,5.978233488880421,35.93514224326007,0.3291232812865436,29.956908754379647,EFGC
51,10.406888522486295,39.091389234371945,0.7004769319292126,28.68450071188565,EFGC
52,12.361892279520893,33.74532290305539,0.5598470966409107,21.383430623534494,EFGC
53,5.513303550078202,33.875533207592554,0.48572605146578085,28.36222965751435,EFGC
54,11.967761051251307,31.94090103454367,0.7449456694614679,19.973139983292363,EFGC
55,14.756129932631948,36.72017207426069,0.5810090462751413,21.964042141628738,EFGC
56,14.92544506020917,34.36635785961368,0.3916049361742185,19.440912799404508,EFGC
57,11.058417312791903,37.12741709038745,0.5897406865424623,26.06899977759555,EFGC
58,11.890026847104268,33.493254534597725,0.7300520380789485,21.603227687493458,EFGC
59,16.35062374010444,34.25673837696569,0.799619231976605,17.906114636861254,EFGC
60,1.1864678668310584,36.89256559669302,0.4396251349892204,35.70609772986196,EFGC
61,6.292763357551729,35.15585077329911,0.5296553088050199,28.86308741574738,EFGC
62,10.337566622064095,33.360923147497495,0.7478810254605172,23.0233565254334,EFGC
63,18.041173778478786,38.06634812539197,0.4377272424691232,20.025174346913182,EFGC
64,9.645861780913863,31.278252289219775,0.7664141299781424,21.63239050830591,EFGC
65,3.9519498890087976,34.173959480986426,0.44246450397348647,30.222009591977628,EFGC
66,17.747686951618647,33.83348174496027,0.9434703576695392,16.08579479334162,EFGC
67,12.233909152335645,34.35354429420692,0.5805476717946613,22.119635141871274,EFGC
68,11.494277498827657,32.47225357228667,0.8918773796786209,20.97797607345901,EFGC
69,7.2182667082095335,30.762682310201807,0.4707503674414764,23.544415601992274,EFGC
70,9.854181090416098,39.01351875827938,0.6989198423949569,29.159337667863284,EFGC
71,6.000334384447654,38.619073609264916,0.35133072218898265,32.61873922481726,EFGC
72,19.696550536919908,34.223937348623295,0.7589915924697136,14.527386811703387,EFGC
73,17.102714463961092,36.16323156826211,0.6726548924733678,19.06051710430102,EFGC
74,14.367330417758568,33.16387171710578,0.5697131132460872,18.79654129934721,EFGC
75,18.03302205388772,37.135046846551624,0.6333823217041534,19.102024792663904,EFGC
76,11.167421033722315,34.364362520700425,0.8448373264008064,23.196941486978112,EFGC
77,11.585806797007892,37.118179876080525,0.4494959456908343,25.532373079072634,EFGC
78,13.187447502086416,32.44692875060863,0.9541759364068778,19.259481248522214,EFGC
79,9.714328211794173,33.43347792302211,0.8540389708755179,23.719149711227935,EFGC
